idx,predicted
0,0
1,1
2,1
3,0
4,1
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,0
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,1
142,0
143,1
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,0
155,0
156,1
157,1
158,0
159,1
160,0
161,0
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,0
288,0
289,0
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,1
300,0
301,1
302,1
303,0
304,0
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,0
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,0
336,1
337,0
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,0
346,1
347,1
348,1
349,1
350,1
351,0
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,0
361,1
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,1
370,1
371,0
372,0
373,0
374,1
375,1
376,1
377,1
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,1
428,1
429,0
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,1
463,1
464,0
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,0
508,1
509,1
510,1
511,1
512,1
513,0
514,1
515,1
516,1
517,0
518,0
519,1
520,1
521,1
522,0
523,0
524,0
525,1
526,1
527,0
528,0
529,1
530,0
531,1
532,0
533,1
534,1
535,1
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,0
544,0
545,1
546,1
547,0
548,0
549,1
550,1
551,1
552,1
553,0
554,0
555,0
556,1
557,0
558,0
559,0
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,1
568,0
569,1
570,0
571,0
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,0
580,1
581,0
582,0
583,1
584,1
585,1
586,0
587,1
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,0
596,1
597,0
598,0
599,1
600,1
601,0
602,0
603,1
604,0
605,0
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,0
614,1
615,1
616,1
617,1
618,1
619,0
620,1
621,0
622,0
623,0
624,0
625,1
626,1
627,0
628,1
629,0
630,0
631,1
632,0
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,0
655,0
656,1
657,1
658,1
659,0
660,1
661,1
662,1
663,1
664,0
665,0
666,0
667,0
668,1
669,1
670,0
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,1
679,0
680,0
681,0
682,1
683,0
684,1
685,1
686,1
687,0
688,1
689,0
690,0
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,0
699,1
700,1
701,1
702,1
703,1
704,0
705,0
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,0
716,0
717,1
718,0
719,1
720,1
721,1
722,0
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,0
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,0
742,1
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,0
751,1
752,0
753,1
754,0
755,1
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,1
770,1
771,1
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,1
780,0
781,0
782,0
783,1
784,1
785,1
786,1
787,1
788,0
789,0
790,0
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,0
882,0
883,1
884,1
885,1
886,1
887,1
888,0
889,0
890,1
891,0
892,0
893,1
894,0
895,0
896,0
897,1
898,0
899,1
900,1
901,1
902,0
903,0
904,1
905,1
906,1
907,0
908,1
909,1
910,1
911,1
912,1
913,1
914,0
915,1
916,1
917,0
918,0
919,0
920,0
921,1
922,0
923,1
924,1
925,0
926,1
927,1
928,1
929,1
930,1
931,1
932,0
933,1
934,1
935,1
936,0
937,1
938,1
939,0
940,0
941,0
942,1
943,1
944,1
945,0
946,1
947,0
948,1
949,1
950,0
951,0
952,1
953,1
954,0
955,1
956,1
957,1
958,0
959,1
960,1
961,1
962,0
963,1
964,0
965,1
966,1
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,1
996,1
997,1
998,1
999,0
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,0
1029,0
1030,1
1031,0
1032,0
1033,1
1034,1
1035,1
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,1
1043,0
1044,1
1045,1
1046,1
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,1
1054,0
1055,1
1056,1
1057,0
1058,0
1059,0
1060,1
